source,target,strength
0x742965d484ef14ed58db2bcec49618a55a84c7a3,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,37500
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x768fe4f1da90449f3d95bcc5efa9e344bfc5614b,101.0009
0x158e68cb48aae00d1a75762c49ec402887828c0e,0xc3bda65a2d634d31e9bb8c6afb45b50cc87892de,2
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xe52cc6f18539947043eeae39dabf33f1451a23e9,9.06071355
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x92d4b09cd6f32918fa7614dae45227193cc25a4e,1.778325
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xc0140d5a4a8a33328c798d2251094dcf939c407f,100.000168
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xb3e405db2d56d53f690975876e5cfae76b2f8824,4.39616413
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xd9f298700425d4d9f8e00f6962863479f3f121fe,2.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x26876db8b26414d497e6a6d93f43214df2086dfa,32.90391235
0x9e82e4bd9c3fd5c8e588dbd0282c023131a2caa1,0x8b83b9c4683aa4ec897c569010f09c6d04608163,37500
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xa4972ab11037e3e4d54a5c1b09efb1af02e06022,8.552901
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x5f7e2de30b88fd974047316301e0dde11c34a803,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xa333b29e3a13bfc9d3720e21292c2456c8928096,172.000209999999
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x4bcbdde30f91a907d69e56d4610e35472ca5b922,3.10021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xcb602ee226f755bf92f6de5d474b69e58761b5cb,2.55364616
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x20636cb7f248572d8791b3b64bb85c35e1cffb67,250.00039876
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xc122ae582cfb8094c65f79221a65942adf157f81,98.15832725
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xd851436eccb957e9974befd5595dd7d1382d2724,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x158e68cb48aae00d1a75762c49ec402887828c0e,2.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6dcf16bda997f3992b518259ca4b41c0db1c59f1,83.18658045
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x68cdee619222bf58f2735361e4071a5257309c03,2.57887889
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x76d7c70f48eb0214723106eb3a889efc85e9e91d,15
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xa98cbfa5d7708582e1ce4162d5e53fd1c75f187f,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7a57aed3866e3650692b152741ec407a776494f3,3750.000252
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xdd7839d27a05549923f69cded80350821573ce78,4.61021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xea78a82bdbb8b6328b7ff5036d72ccf5ba080cee,397.849112
